Menu Item,Serving Size (oz),Calories,Calories From Fat (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Wheat,Soy,Peanuts,Treenuts,Fish,Shellfish,Eggs,Milk
""Fortune Cookies"",""8 g / 1 pc"",32,2,0,0,0,0,8,7,0,3,1,""✓"",""✓"","""","""","""","""","""",""✓""
""Chocolate Chip Chunk Cookie"",""1.2 oz / 1 pc"",160,60,7,3,0,5,125,25,""<1"",14,2,""✓"",""✓"",""✓"",""✓"","""","""",""""
""Pepsi® (Sm.)"",""22 oz"",240,0,0,0,0,0,60,67,0,65,0,"""","""","""","""","""","""","""","""",""""
""Pepsi® (Med.)"",""30 oz"",330,0,0,0,0,0,80,92,0,89,0,"""","""","""","""","""","""","""","""",""""
""Pepsi® (Lrg.)"",""42 oz"",460,0,0,0,0,0,115,129,0,124,0,"""","""","""","""","""","""","""","""",""""
""Diet Pepsi® (Sm.)"",""22 oz"",0,0,0,0,0,0,60,0,0,0,0,"""","""","""","""","""","""","""","""",""""
""Diet Pepsi® (Med.)"",""30 oz"",0,0,0,0,0,0,80,0,0,0,0,"""","""","""","""","""","""","""","""",""""
""Diet Pepsi® (Lrg.)"",""42 oz"",0,0,0,0,0,0,115,0,0,0,0,"""","""","""","""","""","""","""","""",""""
""Mountain Dew® (Sm.)"",""22 oz"",260,0,0,0,0,0,85,70,0,70,0,"""","""","""","""","""","""","""","""",""""
""Mountain Dew® (Med.)"",""30 oz"",360,0,0,0,0,0,115,95,0,95,0,"""","""","""","""","""","""","""","""",""""
""Mountain Dew® (Lrg.)"",""42 oz"",510,0,0,0,0,0,160,133,0,133,0,"""","""","""","""","""","""","""","""",""""
""Dr Pepper® (Sm.)"",""22 oz"",206,0,0,0,0,0,72,56,0,56,0,"""","""","""","""","""","""","""","""",""""
""Dr Pepper® (Med.)"",""30 oz"",281,0,0,0,0,0,98,76,0,76,0,"""","""","""","""","""","""","""","""",""""
""Dr. Pepper (Lrg.)"",""42 oz"",394,0,0,0,0,0,138,106,0,106,0,"""","""","""","""","""","""","""","""",""""
""Mug Root Beer® (Sm.)"",""22 oz"",240,0,0,0,0,0,35,63,0,63,0,"""","""","""","""","""","""","""","""",""""
""Mug Root Beer® (Med.)"",""30 oz"",330,0,0,0,0,0,50,85,0,85,0,"""","""","""","""","""","""","""","""",""""
""Mug Root Beer® (Lrg.)"",""42 oz"",460,0,0,0,0,0,70,119,0,119,0,"""","""","""","""","""","""","""","""",""""
""Sierra Mist® (Sm.)"",""22 oz"",240,0,0,0,0,0,50,65,0,65,0,"""","""","""","""","""","""","""","""",""""
""Sierra Mist® (Med.)"",""30 oz"",330,0,0,0,0,0,65,89,0,89,0,"""","""","""","""","""","""","""","""",""""
""Sierra Mist® (Lrg.)"",""42 oz"",460,0,0,0,0,0,90,124,0,124,0,"""","""","""","""","""","""","""","""",""""
""Lipton No Calorie Brisk Peach® (Sm.)"",""22 oz"",0,0,0,0,0,0,170,0,0,0,0,"""","""","""","""","""","""","""","""",""""
""Lipton No Calorie Brisk Peach® (Med.)"",30,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0
""Lipton No Calorie Brisk Peach® (Lrg.)"",42,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0
""Lipton Brisk Raspberry® (Sm.)"",22,190,0,0,0,0,0,60,51,0,51,0,0,0,0,0,0,0,0
""Lipton Brisk Raspberry® (Med.)"",30,260,0,0,0,0,0,80,69,0,69,0,0,0,0,0,0,0,0
""Lipton Brisk Raspberry® (Lrg.)"",42,370,0,0,0,0,0,115,96,0,96,0,0,0,0,0,0,0,0
""Sobe Lean® (Sm.)"",22,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
""Sobe Lean® (Med.)"",30,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
""Sobe Lean® (Lrg.)"",42,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
""Tropicana Fruit Punch® (Sm.)"",22,260,0,0,0,0,0,60,72,0,72,0,0,0,0,0,0,0,0
""Tropicana Fruit Punch® (Med.)"",30,360,0,0,0,0,0,80,98,0,98,0,0,0,0,0,0,0,0
""Tropicana Fruit Punch® (Lrg.)"",42,510,0,0,0,0,0,115,138,0,138,0,0,0,0,0,0,0,0
""Tropicana Lemonade® (Sm.)"",22,240,0,0,0,0,0,255,65,0,65,0,0,0,0,0,0,0,0
""Tropicana Lemonade® (Med.)"",30,330,0,0,0,0,0,345,89,0,89,0,0,0,0,0,0,0,0
""Tropicana Lemonade® (Lrg.)"",42,460,0,0,0,0,0,480,124,0,124,0,0,0,0,0,0,0,0
""Tropicana Pink Lemonade® (Sm.)"",22,240,0,0,0,0,0,255,65,0,65,0,0,0,0,0,0,0,0
""Tropicana Pink Lemonade® (Med.)"",30,330,0,0,0,0,0,345,89,0,89,0,0,0,0,0,0,0,0
""Tropicana Pink Lemonade® (Lrg.)"",42,460,0,0,0,0,0,480,124,0,124,0,0,0,0,0,0,0,0
""China Mist Iced Tea® (Sm.)"",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
