Menu Item Name, Serving Size, Total Calories, Total Fat (g), Sat Fat (g), Trans Fat (g), Cholesterol (mg), Sodium (mg), Carb (g), Dietary Fiber (g), Sugar (g), Protein (g)
'FANTA ORANGE - Lrg', 32.0, 430.0, 0.0, 0.0, 0.0, 0.0, 105.0, 108.0, 0.0, 106.0, 0.0
'HI-C FLASHIN' FRUIT PUNCH - Kids', 12.0, 170.0, 0.0, 0.0, 0.0, 0.0, 75.0, 42.0, 0.0, 41.0, 0.0
"HI-C FLASHIN' FRUIT PUNCH - Reg", 22, 310, 0, 0, 0, 0, 135, 78, 0, 76, 0
"HI-C FLASHIN' FRUIT PUNCH Lrg", 32.0, 450.0, 0.0, 0.0, 0.0, 0.0, 200.0, 113.0, 0.0, 110.0, 0.0
'MELLO YELLO - Kid's', 12, 170.0, 0.0, 0.0, 0.0, 0.0, 50.0, 44.0, 0.0, 44.0, 0.0
'MELLO YELLO - Reg', 22.0, 310.0, 0.0, 0.0, 0.0, 0.0, 95.0, 80.0, 0.0, 80.0, 0.0
'MELLO YELLO - Lrg', 32, 460.0, 0.0, 0.0, 0.0, 0.0, 135.0, 116.0, 0.0, 116.0, 0.0
'SPRITE - Kid's', 12, 150.0, 0.0, 0.0, 0.0, 0.0, 70.0, 37.0, 0.0, 36.0, 0.0
'SPRITE - Reg', 22.0, 270.0, 0.0, 0.0, 0.0, 0.0, 125.0, 68.0, 0.0, 67.0, 0.0
'SPRITE - Lrg', 32.0, 390.0, 0.0, 0.0, 0.0, 0.0, 180.0, 98.0, 0.0, 97.0, 0.0
'Apple Juice Drink Pouch', 6.0, 35.0, 0.0, 0.0, 0.0, 0.0, 15.0, 9.0, 0.0, 8.0, 0.0
'Milk 1% Box', 8, 110.0, 2.5, 1.5, 0, 10, 130, 13, 0, 12, 8
'Chicken Finger', 55.0, 130.0, 6.0, 1.0, 0.0, 40.0, 190.0, 5.0, 1.0, 0.0, 13.0
'Crinkle-Cut Fries', 5.1, 390, 19, 2, 0, 0, 310, 49, 7, 1, 5
'Texas Toast - (1 Slice)', 45.0, 140.0, 4.0, 1.5, 0.0, 0.0, 260.0, 23.0, 1.0, 4.0, 4.0
'Coleslaw', 89.0, 100.0, 6.0, 1.0, 0.0, 5.0, 310.0, 11.0, 1.0, 7.0, 1.0
'Cane's Sauce', 1.5, 190, 19, 3, 0, 10, 580, 6, 0, 4, 0
'Sandwich', 297.0, 780.0, 39.0, 6.0, 0.0, 120.0, 1470.0, 66.0, 5.0, 13.0, 48.0
