Calories (g), Calories/Fat (g), Total Fat (g), Saturated Fat (g), Cholesterol (mg), Trans Fat (g), Sodium (mg), Total Carbs (g), Sugars (g), Dietary Fiber (g), Protein (g), Vitamin A, Vitamin C, Calcium, Iron
'PICO DE GALLO & CHIPS OZ.', 200.0, 63.0, 7.0, 0.0, 0.0, 0.0, 710.0, 32.0, 6.0, 3.0, 4.0, 32.0, 35.0, 2.0, 4.0
'POBLANO SAUCE & CHIPS B OZ.', 869.0, 702.0, 78.0, 12.0, 80.0, 0.0, 680.0, 36.0, 6.0, 0.0, 2.0, 0.0, 16.0, 16.0, 0.0
'ROJA SAUCE & CHIPS OZ.', 214.0, 72.0, 8.0, 0.0, 0.0, 0.0, 869.0, 33.0, 6.0, 3.0, 5.0, 36.0, 38.0, 2.0, 4.0
'TOMATILLO SAUCE & CHIPS OZ.', 189.0, 54.0, 6.0, 0.0, 0.0, 0.0, 480.0, 28.0, 1.0, 0.0, 2.0, 0.0, 48.0, 0.0, 16.0
'AUSTIN ROCKS', 193, 0, 0, 0, 0, 0, 1, 17, 14, 0, 0, 0, 13, 0, 0
'BACARDI MOJITO', 400.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 9.0, 7.0, 0.0, 0.0, 0.0, 13.0, 2.0, 4.0
'BLOODY MARY', 144.0, 18.0, 2.0, 0.0, 0.0, 0.0, 973.0, 9.0, 1.0, 1.0, 1.0, 6.0, 5.0, 3.0, 6.0
'HOT & BOTHERED', 197.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.0, 20.0, 18.0, 0.0, 0.0, 1.0, 9.0, 0.0, 0.0
'HOUSE FROZEN MARGARITA', 331.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 49.0, 33.0, 0.0, 0.0, 1.0, 31.0, 1.0, 1.0
'HOUSE ROCKS MARGARITA', 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 18.0, 8.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0
'KEEPIN' IT 100', 236.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.0, 21.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0
'MIMOSA', 146.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 12.0, 0.0, 1.0, 0.0, 40.0, 1.0, 0.0
'MINT TO BEE', 228.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 20.0, 18.0, 0.0, 0.0, 1.0, 9.0, 1.0, 2.0
'THE PEG LEG', 524.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 72.0, 43.0, 0.0, 1.0, 1.0, 44.0, 2.0, 1.0
'PERFECTED PATRÓN', 227.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 25.0, 21.0, 0.0, 0.0, 1.0, 22.0, 1.0, 0.0
'SANDIA', 158.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 13.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0
'SANGRIA', 176.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 16.0, 8.0, 0.0, 1.0, 0.0, 5.0, 1.0, 2.0
'SUCKER PUNCH', 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.0, 22.0, 16.0, 0.0, 1.0, 4.0, 57.0, 2.0, 2.0
'TEQUILA SUNRISE', 158.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 19.0, 16.0, 0.0, 1.0, 0.0, 40.0, 1.0, 0.0
